OrderID,CustomerID,OrderDate,Channel,StoreID
ORD1082,CUST526,2024-05-17,Online,ST02
ORD1083,CUST641,2024-06-08,Online,ST10
ORD1084,CUST553,2024-12-17,Online,ST05
ORD1085,CUST629,2025-05-15,Online,ST01
ORD1086,CUST523,2025-10-11,Online,ST05
ORD1087,CUST511,2024-01-04,Online,ST03
ORD1088,CUST567,2024-06-14,In-Store,ST09
ORD1089,CUST609,2025-07-28,Online,ST02
ORD1090,CUST538,2025-07-12,Online,ST06
ORD1091,CUST649,2025-07-19,Online,ST03
ORD1092,CUST510,2024-11-11,Online,ST01
ORD1093,CUST591,2024-08-03,In-Store,ST02
ORD1094,CUST590,2025-07-27,In-Store,ST07
ORD1095,CUST539,2024-08-30,In-Store,ST03
ORD1096,CUST605,2024-01-26,Online,ST06
ORD1097,CUST605,2025-11-16,In-Store,ST04
ORD1098,CUST568,2024-06-12,In-Store,ST02
ORD1099,CUST597,2024-02-09,In-Store,ST04
ORD1100,CUST551,2025-04-16,Online,ST04
ORD1101,CUST557,2024-01-25,In-Store,ST07
ORD1102,CUST584,2024-10-12,In-Store,ST05
ORD1103,CUST589,2025-10-18,Online,ST09
ORD1104,CUST584,2024-01-29,Online,ST05
ORD1105,CUST545,2025-08-17,Wholesale,ST05
ORD1106,CUST509,2024-04-21,In-Store,ST06
ORD1107,CUST580,2025-03-22,In-Store,ST09
ORD1108,CUST529,2025-01-29,In-Store,ST04
ORD1109,CUST565,2024-02-15,In-Store,ST01
ORD1110,CUST633,2025-07-05,In-Store,ST04
ORD1111,CUST593,2025-03-17,Online,ST06
ORD1112,CUST580,2025-11-10,In-Store,ST05
ORD1113,CUST629,2024-11-12,In-Store,ST06
ORD1114,CUST603,2025-12-14,Online,ST03
ORD1115,CUST549,2025-03-06,In-Store,ST07
ORD1116,CUST544,2025-09-22,In-Store,ST07
ORD1117,CUST640,2024-01-01,Online,ST04
ORD1118,CUST610,2025-08-16,In-Store,ST06
ORD1119,CUST619,2025-03-28,Online,ST04
ORD1120,CUST630,2025-04-29,In-Store,ST03
ORD1121,CUST521,2024-10-17,Online,ST10
ORD1122,CUST585,2024-04-05,In-Store,ST04
ORD1123,CUST579,2024-08-18,In-Store,ST03
ORD1124,CUST506,2024-02-17,Online,ST08
ORD1125,CUST518,2025-04-11,Online,ST10
ORD1126,CUST549,2025-12-14,Online,ST07
ORD1127,CUST562,2024-05-31,In-Store,ST01
ORD1128,CUST527,2025-03-11,Online,ST09
ORD1129,CUST618,2024-02-21,In-Store,ST02
ORD1130,CUST616,2024-05-16,In-Store,ST09
ORD1131,CUST643,2025-09-01,Online,ST08
ORD1132,CUST629,2025-03-12,In-Store,ST09
ORD1133,CUST614,2024-06-11,In-Store,ST08
ORD1134,CUST615,2024-09-22,In-Store,ST05
ORD1135,CUST633,2025-05-11,In-Store,ST05
ORD1136,CUST612,2024-03-20,In-Store,ST04
ORD1137,CUST569,2024-12-09,Online,ST09
ORD1138,CUST520,2024-05-21,Online,ST07
ORD1139,CUST539,2025-12-24,Online,ST07
ORD1140,CUST604,2024-12-04,Online,ST07
ORD1141,CUST515,2024-07-30,In-Store,ST07
ORD1142,CUST649,2025-12-13,Online,ST10
ORD1143,CUST597,2025-05-03,Online,ST06
ORD1144,CUST576,2025-02-03,In-Store,ST07
ORD1145,CUST637,2025-07-13,In-Store,ST04
ORD1146,CUST624,2024-08-12,Online,ST08
ORD1147,CUST507,2025-02-02,Online,ST07
ORD1148,CUST542,2025-04-23,Wholesale,ST10
ORD1149,CUST636,2024-01-28,Wholesale,ST10
ORD1150,CUST644,2025-11-09,Online,ST07
ORD1151,CUST534,2025-04-17,Online,ST05
ORD1152,CUST597,2024-12-01,Online,ST06
ORD1153,CUST586,2025-01-23,Online,ST07
ORD1154,CUST564,2024-03-24,Online,ST09
ORD1155,CUST513,2024-12-24,Online,ST02
ORD1156,CUST510,2024-02-01,Wholesale,ST04
ORD1157,CUST505,2025-09-28,Online,ST03
ORD1158,CUST621,2025-11-16,Online,ST04
ORD1159,CUST619,2025-12-17,Online,ST06
ORD1160,CUST542,2025-09-12,In-Store,ST02
ORD1161,CUST541,2024-11-14,Online,ST01
ORD1162,CUST579,2025-08-12,In-Store,ST07
ORD1163,CUST601,2024-07-22,Online,ST04
ORD1164,CUST526,2025-12-14,In-Store,ST10
ORD1165,CUST530,2025-08-02,In-Store,ST06
ORD1166,CUST636,2025-03-14,In-Store,ST02
ORD1167,CUST629,2025-10-25,Online,ST07
ORD1168,CUST625,2024-04-18,Online,ST06
ORD1169,CUST617,2025-12-25,Online,ST03
ORD1170,CUST633,2025-10-28,Online,ST09
ORD1171,CUST623,2025-04-21,Online,ST10
ORD1172,CUST568,2024-11-26,In-Store,ST02
ORD1173,CUST571,2025-04-06,Online,ST08
ORD1174,CUST645,2025-09-16,In-Store,ST06
ORD1175,CUST507,2025-05-21,In-Store,ST03
ORD1176,CUST624,2024-08-05,Online,ST05
ORD1177,CUST587,2024-10-13,In-Store,ST05
ORD1178,CUST642,2024-01-11,Online,ST04
ORD1179,CUST521,2024-09-04,In-Store,ST08
ORD1180,CUST642,2024-09-03,In-Store,ST08
ORD1181,CUST614,2024-01-18,Online,ST04
ORD1182,CUST603,2025-12-09,Online,ST10
ORD1183,CUST594,2025-04-29,In-Store,ST06
ORD1184,CUST608,2025-07-17,Online,ST08
ORD1185,CUST569,2024-11-09,Online,ST02
ORD1186,CUST549,2024-11-19,Online,ST09
ORD1187,CUST547,2024-07-15,Online,ST08
ORD1188,CUST570,2025-08-26,Wholesale,ST09
ORD1189,CUST572,2024-04-12,In-Store,ST05
ORD1190,CUST558,2025-01-04,Online,ST01
ORD1191,CUST636,2024-05-09,Online,ST01
ORD1192,CUST641,2024-10-26,In-Store,ST03
ORD1193,CUST625,2024-04-15,In-Store,ST10
ORD1194,CUST572,2025-04-25,Online,ST06
ORD1195,CUST547,2024-02-22,Online,ST08
ORD1196,CUST529,2024-03-07,Online,ST02
ORD1197,CUST647,2025-10-06,In-Store,ST03
ORD1198,CUST538,2025-07-30,Wholesale,ST02
ORD1199,CUST563,2024-05-01,In-Store,ST07
ORD1200,CUST557,2025-06-19,Online,ST08
ORD1201,CUST576,2025-08-25,Wholesale,ST05
ORD1202,CUST645,2025-09-27,Online,ST02
ORD1203,CUST553,2025-10-02,Online,ST02
ORD1204,CUST540,2024-09-02,Online,ST02
ORD1205,CUST540,2024-01-03,Online,ST10
ORD1206,CUST620,2024-10-25,Online,ST05
ORD1207,CUST572,2025-12-20,In-Store,ST02
ORD1208,CUST559,2024-09-27,In-Store,ST10
ORD1209,CUST550,2025-03-11,Online,ST04
ORD1210,CUST538,2024-09-29,In-Store,ST02
ORD1211,CUST515,2024-06-18,In-Store,ST10
ORD1212,CUST645,2024-10-22,Online,ST08
ORD1213,CUST577,2025-12-17,Online,ST05
ORD1214,CUST628,2025-07-06,Online,ST02
ORD1215,CUST510,2025-03-18,In-Store,ST10
ORD1216,CUST564,2024-01-27,Online,ST10
ORD1217,CUST505,2025-11-19,In-Store,ST10
ORD1218,CUST510,2024-06-28,Online,ST08
ORD1219,CUST571,2024-07-04,Wholesale,ST07
ORD1220,CUST625,2024-04-03,Online,ST07
ORD1221,CUST585,2024-11-24,In-Store,ST03
ORD1222,CUST584,2025-02-25,In-Store,ST05
ORD1223,CUST602,2025-07-17,Online,ST02
ORD1224,CUST580,2024-09-15,Online,ST07
ORD1225,CUST631,2024-01-02,In-Store,ST09
ORD1226,CUST618,2025-02-27,Online,ST09
ORD1227,CUST592,2025-09-29,In-Store,ST08
ORD1228,CUST513,2024-07-27,Online,ST03
ORD1229,CUST573,2025-03-24,In-Store,ST08
ORD1230,CUST531,2024-01-30,Wholesale,ST10
ORD1231,CUST561,2025-12-27,Online,ST09
ORD1232,CUST503,2025-07-19,Online,ST04
ORD1233,CUST529,2025-04-17,Wholesale,ST03
ORD1234,CUST627,2024-10-25,Online,ST05
ORD1235,CUST606,2025-05-09,Wholesale,ST04
ORD1236,CUST616,2025-07-18,Online,ST04
ORD1237,CUST630,2024-05-19,In-Store,ST05
ORD1238,CUST606,2024-12-14,Wholesale,ST09
ORD1239,CUST568,2024-01-03,Online,ST05
ORD1240,CUST648,2025-11-06,Online,ST03
ORD1241,CUST614,2025-07-05,Online,ST06
ORD1242,CUST641,2025-07-10,Online,ST06
ORD1243,CUST548,2025-12-15,Online,ST07
ORD1244,CUST559,2025-02-24,Online,ST08
ORD1245,CUST597,2025-01-30,Wholesale,ST03
ORD1246,CUST626,2024-02-07,Online,ST10
ORD1247,CUST584,2024-04-12,In-Store,ST08
ORD1248,CUST525,2025-06-22,Wholesale,ST01
ORD1249,CUST536,2025-02-23,In-Store,ST03
ORD1250,CUST519,2025-04-25,In-Store,ST05
ORD1251,CUST586,2025-09-30,In-Store,ST02
ORD1252,CUST584,2025-11-21,In-Store,ST07
ORD1253,CUST581,2025-10-03,In-Store,ST08
ORD1254,CUST638,2024-02-06,In-Store,ST04
ORD1255,CUST573,2024-08-20,In-Store,ST07
ORD1256,CUST525,2025-10-10,In-Store,ST02
ORD1257,CUST613,2024-06-19,In-Store,ST01
ORD1258,CUST511,2024-11-28,In-Store,ST05
ORD1259,CUST591,2025-01-18,Online,ST04
ORD1260,CUST635,2025-02-25,In-Store,ST03
ORD1261,CUST543,2024-06-28,Online,ST07
ORD1262,CUST561,2025-05-24,Wholesale,ST03
ORD1263,CUST559,2025-04-17,In-Store,ST08
ORD1264,CUST565,2025-11-13,Online,ST08
ORD1265,CUST573,2025-11-24,Online,ST02
ORD1266,CUST613,2024-12-19,Wholesale,ST05
ORD1267,CUST608,2025-12-07,Online,ST05
ORD1268,CUST550,2025-01-28,In-Store,ST02
ORD1269,CUST560,2025-01-25,In-Store,ST10
ORD1270,CUST575,2025-12-17,Online,ST07
ORD1271,CUST570,2024-01-09,In-Store,ST01
ORD1272,CUST627,2024-10-20,In-Store,ST04
ORD1273,CUST590,2024-08-12,In-Store,ST10
ORD1274,CUST564,2025-11-25,In-Store,ST03
ORD1275,CUST524,2025-10-04,In-Store,ST05
ORD1276,CUST612,2024-02-04,In-Store,ST03
ORD1277,CUST523,2024-10-29,Online,ST07
ORD1278,CUST544,2024-07-24,Online,ST09
ORD1279,CUST593,2025-06-27,Online,ST05
ORD1280,CUST542,2024-09-20,Wholesale,ST08
ORD1281,CUST575,2024-12-12,In-Store,ST08
ORD1282,CUST519,2024-05-24,In-Store,ST04
ORD1283,CUST601,2025-07-24,Online,ST07
ORD1284,CUST503,2024-09-27,Online,ST08
ORD1285,CUST594,2025-11-19,In-Store,ST05
ORD1286,CUST649,2025-01-25,In-Store,ST06
ORD1287,CUST527,2025-11-22,Online,ST01
ORD1288,CUST643,2024-12-01,Wholesale,ST04
ORD1289,CUST516,2025-10-12,In-Store,ST05
ORD1290,CUST604,2024-04-29,Online,ST01
ORD1291,CUST577,2025-05-19,Online,ST04
ORD1292,CUST637,2024-05-18,Online,ST06
ORD1293,CUST638,2025-03-05,In-Store,ST03
ORD1294,CUST606,2025-11-01,Online,ST08
ORD1295,CUST604,2024-10-13,Online,ST06
ORD1296,CUST555,2025-03-30,Online,ST04
ORD1297,CUST592,2024-04-11,Wholesale,ST06
ORD1298,CUST639,2025-10-22,Online,ST07
ORD1299,CUST570,2024-07-13,Wholesale,ST08
ORD1300,CUST523,2025-11-09,Online,ST10
ORD1301,CUST505,2024-02-21,In-Store,ST04
ORD1302,CUST532,2025-08-01,Online,ST09
ORD1303,CUST553,2025-08-23,Online,ST04
ORD1304,CUST584,2024-05-31,In-Store,ST10
ORD1305,CUST500,2024-10-10,In-Store,ST03
ORD1306,CUST533,2025-07-07,Online,ST03
ORD1307,CUST528,2025-11-07,In-Store,ST03
ORD1308,CUST503,2025-01-01,In-Store,ST04
ORD1309,CUST582,2024-01-17,Online,ST01
ORD1310,CUST532,2025-03-07,Online,ST02
ORD1311,CUST621,2025-04-04,In-Store,ST09
ORD1312,CUST527,2025-04-07,Online,ST10
ORD1313,CUST511,2025-11-05,Online,ST08
ORD1314,CUST507,2024-03-03,Wholesale,ST07
ORD1315,CUST609,2025-12-03,Online,ST08
ORD1316,CUST518,2024-03-23,Online,ST03
ORD1317,CUST516,2024-05-09,Online,ST10
ORD1318,CUST640,2025-12-30,Online,ST10
ORD1319,CUST635,2024-10-28,Online,ST10
ORD1320,CUST610,2024-04-11,In-Store,ST02
ORD1321,CUST641,2024-08-08,Online,ST04
ORD1322,CUST605,2024-12-13,In-Store,ST07
ORD1323,CUST606,2024-04-07,Online,ST06
ORD1324,CUST565,2025-01-18,Wholesale,ST08
ORD1325,CUST517,2024-04-03,In-Store,ST02
ORD1326,CUST610,2024-04-08,In-Store,ST06
ORD1327,CUST533,2025-07-23,Online,ST09
ORD1328,CUST643,2024-12-03,In-Store,ST07
ORD1329,CUST590,2025-11-12,Wholesale,ST07
ORD1330,CUST513,2024-10-21,In-Store,ST06
ORD1331,CUST526,2025-08-14,Online,ST03
ORD1332,CUST623,2024-08-17,In-Store,ST06
ORD1333,CUST642,2025-01-11,Online,ST05
ORD1334,CUST646,2024-08-19,In-Store,ST09
ORD1335,CUST642,2024-01-27,In-Store,ST05
ORD1336,CUST507,2024-07-03,Online,ST05
ORD1337,CUST586,2024-12-25,Online,ST03
ORD1338,CUST644,2025-11-04,Online,ST03
ORD1339,CUST507,2024-04-03,In-Store,ST04
ORD1340,CUST596,2025-03-05,Online,ST03
ORD1341,CUST594,2024-11-15,In-Store,ST10
ORD1342,CUST521,2024-02-23,Online,ST10
ORD1343,CUST512,2025-11-21,Online,ST08
ORD1344,CUST608,2025-05-12,In-Store,ST07
ORD1345,CUST569,2024-08-08,In-Store,ST02
ORD1346,CUST588,2025-03-16,Online,ST10
ORD1347,CUST624,2025-06-23,In-Store,ST01
ORD1348,CUST556,2025-02-08,Wholesale,ST01
ORD1349,CUST501,2024-07-28,Online,ST04
ORD1350,CUST535,2024-09-18,Online,ST02
ORD1351,CUST501,2025-05-24,In-Store,ST03
ORD1352,CUST533,2025-01-24,Online,ST04
ORD1353,CUST628,2025-07-26,In-Store,ST06
ORD1354,CUST518,2025-02-10,In-Store,ST01
ORD1355,CUST611,2024-01-20,Online,ST02
ORD1356,CUST580,2025-08-12,Online,ST07
ORD1357,CUST606,2024-10-23,Online,ST01
ORD1358,CUST583,2024-06-24,In-Store,ST10
ORD1359,CUST617,2025-12-07,Wholesale,ST02
ORD1360,CUST611,2024-04-18,Online,ST10
ORD1361,CUST602,2025-06-20,Online,ST05
ORD1362,CUST586,2024-08-14,Online,ST03
ORD1363,CUST519,2025-06-06,In-Store,ST09
ORD1364,CUST630,2024-07-17,Wholesale,ST06
ORD1365,CUST589,2025-10-22,In-Store,ST04
ORD1366,CUST526,2024-05-29,Online,ST03
ORD1367,CUST539,2025-11-02,Online,ST08
ORD1368,CUST618,2025-07-31,In-Store,ST08
ORD1369,CUST644,2025-10-20,In-Store,ST10
ORD1370,CUST582,2025-10-04,Online,ST08
ORD1371,CUST517,2025-04-25,Online,ST05
ORD1372,CUST570,2025-08-28,Online,ST09
ORD1373,CUST518,2024-11-13,Online,ST01
ORD1374,CUST514,2025-01-12,In-Store,ST02
ORD1375,CUST523,2025-09-21,In-Store,ST07
ORD1376,CUST618,2025-08-17,In-Store,ST01
ORD1377,CUST615,2025-08-08,In-Store,ST06
ORD1378,CUST621,2025-05-28,Online,ST01
ORD1379,CUST615,2024-04-15,In-Store,ST06
ORD1380,CUST521,2025-05-31,In-Store,ST01
ORD1381,CUST563,2025-12-25,Online,ST08
ORD1382,CUST634,2025-06-19,In-Store,ST06
ORD1383,CUST595,2024-10-16,Online,ST06
ORD1384,CUST513,2025-10-08,In-Store,ST02
ORD1385,CUST584,2024-04-06,In-Store,ST07
ORD1386,CUST572,2024-09-15,In-Store,ST10
ORD1387,CUST538,2024-12-07,Online,ST03
ORD1388,CUST589,2024-11-13,Wholesale,ST07
ORD1389,CUST533,2025-09-01,In-Store,ST02
ORD1390,CUST579,2025-07-26,Online,ST06
ORD1391,CUST532,2025-11-17,In-Store,ST09
ORD1392,CUST523,2025-10-23,In-Store,ST09
ORD1393,CUST592,2024-01-19,Online,ST03
ORD1394,CUST554,2024-12-15,Wholesale,ST08
ORD1395,CUST549,2024-08-19,Wholesale,ST03
ORD1396,CUST519,2024-10-29,In-Store,ST02
ORD1397,CUST629,2025-07-06,In-Store,ST09
ORD1398,CUST509,2025-11-08,Online,ST10
ORD1399,CUST533,2025-09-03,Online,ST03
ORD1400,CUST546,2025-12-10,In-Store,ST03
ORD1401,CUST612,2024-02-14,Online,ST04
ORD1402,CUST613,2025-09-17,Online,ST08
ORD1403,CUST559,2025-06-30,Online,ST08
ORD1404,CUST549,2025-01-11,In-Store,ST10
ORD1405,CUST612,2025-04-17,In-Store,ST07
ORD1406,CUST628,2025-06-24,Online,ST03
ORD1407,CUST551,2025-09-11,Online,ST05
ORD1408,CUST513,2025-10-18,Online,ST06
ORD1409,CUST641,2024-04-15,In-Store,ST09
ORD1410,CUST531,2024-10-18,Online,ST03
ORD1411,CUST569,2025-04-05,Wholesale,ST03
ORD1412,CUST611,2024-04-03,Wholesale,ST04
ORD1413,CUST615,2024-12-23,Wholesale,ST07
ORD1414,CUST513,2025-02-09,Online,ST04
ORD1415,CUST598,2024-03-24,Online,ST01
ORD1416,CUST581,2024-04-11,In-Store,ST06
ORD1417,CUST537,2024-05-20,Online,ST08
ORD1418,CUST535,2025-12-23,Online,ST10
ORD1419,CUST501,2024-03-22,Online,ST04
ORD1420,CUST538,2025-07-15,Wholesale,ST10
ORD1421,CUST635,2025-03-09,Online,ST05
ORD1422,CUST560,2024-11-04,Online,ST04
ORD1423,CUST607,2025-10-16,In-Store,ST08
ORD1424,CUST516,2024-04-23,In-Store,ST08
ORD1425,CUST637,2024-01-17,In-Store,ST10
ORD1426,CUST561,2024-05-27,Online,ST01
ORD1427,CUST590,2024-09-03,In-Store,ST03
ORD1428,CUST521,2025-06-20,Wholesale,ST02
ORD1429,CUST634,2025-07-11,Online,ST09
ORD1430,CUST641,2024-01-21,Online,ST08
ORD1431,CUST511,2025-10-12,Online,ST06
ORD1432,CUST564,2024-01-17,Online,ST02
ORD1433,CUST588,2024-09-03,In-Store,ST02
ORD1434,CUST648,2024-12-06,Online,ST06
ORD1435,CUST639,2024-12-12,In-Store,ST03
ORD1436,CUST618,2025-12-13,Online,ST03
ORD1437,CUST534,2024-03-05,In-Store,ST08
ORD1438,CUST509,2024-10-27,Online,ST04
ORD1439,CUST510,2024-11-19,Wholesale,ST09
ORD1440,CUST601,2025-07-10,Online,ST01
ORD1441,CUST548,2024-10-19,Online,ST01
ORD1442,CUST584,2024-10-06,Online,ST06
ORD1443,CUST611,2025-02-13,In-Store,ST07
ORD1444,CUST586,2024-07-10,Online,ST08
ORD1445,CUST594,2025-06-15,Online,ST02
ORD1446,CUST608,2024-03-21,Online,ST03
ORD1447,CUST639,2024-10-27,Online,ST02
ORD1448,CUST583,2025-11-07,Online,ST08
ORD1449,CUST609,2024-06-19,In-Store,ST06
ORD1450,CUST614,2024-02-13,In-Store,ST06
ORD1451,CUST611,2024-10-08,In-Store,ST01
ORD1452,CUST519,2025-11-18,In-Store,ST06
ORD1453,CUST631,2025-11-26,Online,ST01
ORD1454,CUST536,2025-09-14,In-Store,ST08
ORD1455,CUST508,2024-05-09,Online,ST06
ORD1456,CUST592,2025-01-27,Wholesale,ST01
ORD1457,CUST539,2025-11-26,Online,ST06
ORD1458,CUST595,2025-03-30,In-Store,ST10
ORD1459,CUST535,2025-06-26,Online,ST06
ORD1460,CUST571,2024-09-12,Wholesale,ST01
ORD1461,CUST547,2025-05-26,Online,ST09
ORD1462,CUST530,2024-09-25,In-Store,ST08
ORD1463,CUST554,2025-09-18,Online,ST08
ORD1464,CUST551,2024-05-05,Online,ST02
ORD1465,CUST615,2024-06-25,In-Store,ST08
ORD1466,CUST522,2025-11-29,Wholesale,ST06
ORD1467,CUST588,2025-12-27,Online,ST09
ORD1468,CUST574,2024-11-03,In-Store,ST03
ORD1469,CUST592,2025-06-04,Online,ST04
ORD1470,CUST535,2024-08-30,In-Store,ST01
ORD1471,CUST592,2025-07-21,In-Store,ST08
ORD1472,CUST641,2024-05-12,In-Store,ST02
ORD1473,CUST516,2024-11-12,Online,ST08
ORD1474,CUST634,2025-02-24,In-Store,ST10
ORD1475,CUST518,2024-05-08,Wholesale,ST02
ORD1476,CUST615,2025-04-22,In-Store,ST06
ORD1477,CUST532,2025-07-18,In-Store,ST03
ORD1478,CUST533,2025-03-19,Online,ST01
ORD1479,CUST531,2025-06-14,Online,ST03
ORD1480,CUST541,2024-11-26,Wholesale,ST04
ORD1481,CUST588,2025-06-15,In-Store,ST02
ORD1482,CUST564,2024-07-20,In-Store,ST09
ORD1483,CUST570,2024-05-08,In-Store,ST10
ORD1484,CUST636,2024-04-05,Online,ST03
ORD1485,CUST648,2024-06-06,Online,ST10
ORD1486,CUST586,2025-07-31,Online,ST01
ORD1487,CUST520,2024-02-16,Wholesale,ST10
ORD1488,CUST567,2025-10-28,Online,ST10
ORD1489,CUST606,2025-09-24,In-Store,ST08
ORD1490,CUST639,2024-10-23,In-Store,ST05
ORD1491,CUST623,2024-09-07,In-Store,ST07
ORD1492,CUST576,2025-04-09,Online,ST01
ORD1493,CUST540,2025-03-26,Online,ST08
ORD1494,CUST552,2024-12-14,In-Store,ST06
ORD1495,CUST581,2024-12-19,Wholesale,ST03
ORD1496,CUST594,2025-06-11,In-Store,ST06
ORD1497,CUST561,2025-04-22,Online,ST08
ORD1498,CUST563,2024-05-24,Online,ST05
ORD1499,CUST598,2025-09-22,Online,ST03
ORD1500,CUST583,2025-08-14,In-Store,ST04
